,,,,,,,,,
,PJT 問題点管理表　利用後はフィルタ解除の事,,,,,横河記載,,,
,0029,2025/03/05,千葉,S25 1-56,A：オーダ管理,A：オーダ管理,VIAA090101_オーダ集計表,"■事象
出荷作業品名、入出荷数量が左詰めになっている。通常は中央揃え","（問題点管理表No.0019と同様）
■原因
表示設定が反映されていなかったため
■対策
反映するように修正致します。
"
,0030,2025/03/05,千葉,S25 9-11,K：ブレンドシミュレーション,K：ブレンドシミュレーション,VIKA020206_ブレンドシミュレータ一括実行 - 基材設定,"■事象
ブレンドシミュレーター一括実行の計算段階でエラー発生。
エラー内容は文字化けしており、認識不能


2025/07/04：生技にて対応不可のためいったん対応不要とした。","■原因
エラー内容が文字化けしている件については、計算エンジンから出力されるOUTファイルの文字コードがUTF-8で出力されているためです。
※既設の計算エンジンのOUTファイルはS-JISで出力されています。

以下に既設と新設で出力されたOUTファイルのサンプルを格納しております。
https://app.box.com/folder/311107309694

なお、計算エラーの内容は
「計算結果が無限大のものが含まれていました。OUT1ファイルも確認願います」
となっています。

■対策
IKC芥川様にてご対応をお願いいたします。担当をIKC様とさせていただきました。"
,0031,2025/03/05,千葉,（保守_問題点管理表no.1117へ移管）S25 9-7,K：ブレンドシミュレーション,K：ブレンドシミュレーション,VIKA020202_ブレンドシミュレータ一括実行 - 生産品名選択,"■事象
ブレンドシミュレータ一括実行ー生産品名選択で要否選択がされているのに「要否が未指定です」と表示される。
もう一度「次へ」ボタンを押下すると解消される。","（現行）保守_問題点管理表No.1016に起票
■原因（既設からの不具合）
一括実行画面の初期表示時に要否選択項目を更新したか否かをチェックしているため
■対策
遷移時のチェックを外すように修正いたします
改修版をリリースするまでは、左記記載のとおり一度選択を外し、再度選択していただくことで対応願います

2026/05/19 YJP村上追記
保守_問題点管理表no.1117へ移管したためクローズ致します。"
,0032,2025/03/05,千葉,S25 3-22,C：進捗管理,C：進捗管理,VICB050101_出荷タンク在庫チェック,"■事象
現ロットNoが左詰めになっている。通常は中央揃え。","（問題点管理表No.0019と同様）
■原因
表示設定が反映されていなかったため
■対策
反映するように修正致します。
"
,0033,2025/03/05,千葉,S25 4-20,D：実績管理,D：実績管理,VIDC020101_JOB検索,"■事象
JOBNoが左詰め。通常は中央揃え。","（問題点管理表No.0019と同様）
■原因
表示設定が反映されていなかったため
■対策
反映するように修正致します。
"
,0034,2025/03/05,千葉,S25 8-3,I：伝票発行管理,I：伝票発行管理,VIIP030403_伝票プルーフリスト印刷,"■事象
日付・コード・数量の数字間が詰まりすぎている気がする。
現在のオフラスプルーフリストと同様の間隔であるか確認をお願いしたい。","■原因
ご指摘の通り、文字間隔が狭くなっていました。
■対策
文字間隔の表示設定を修正しました。"
,0035,2025/03/05,千葉,"（保守_問題点管理表no.1118へ移管）
-",D：実績管理,帳票,ー,"■事象
軽油マーカー添加実績で出力したExcelにて、改ページの場所が悪く、票の下線が途切れる
【3/19追記】
改ページの指定は適切となり、表の下線が途切れる事象は改善されたが印刷範囲が広いのか、印刷プレビュー上で表が小さくなってしまう。（田中）

2025/04/01：検証結果エビデンスをもとに説明する。","■原因
改ページの指定がされていないため、環境により改ページの場所が異なるようになっていました。
■対策
改ページの指定をするように修正しました。
2025/03/25　YJP追記
改めて原因調査致します。

2025/03/25　YJP追記
問題点エビデンスをお願いいたします。

2025/4/4　YJP追記
印刷時の範囲の設定がされていなかったため、印刷プレビューが小さくなっていました。
範囲の設定を指定するように修正致しました。

2025/4/7 YJP追記
印刷プレビュー、実際の印刷で真ん中に寄ることなく大きく表示されることが確認できました。
印刷範囲は適切になりましたが、下線が見切れてしまっているため修正いたします。

2026/05/19 YJP村上追記
保守_問題点管理表no.1118へ移管したためクローズ致します。"
,0036,2025/03/06,千葉,S25 5-14,E：品質管理,E：品質管理,VIEX020801_試験依頼一覧,"■事象
試験依頼一覧画面の右端の本登録ボタンがスクロールバーと重なって切れてしまっている。","■原因
本登録ボタンとスクロールバーの間の空間設定が反映されていなかったためでした。
■対策
空間設定を反映されるように修正致しました。
"
,0037,2025/03/06,千葉,,N：製油所モニタ,Y：通信管理,ファイル連携,"■事象
モニタサーバ上の通信IF用フォルダが存在しない。港湾統計、NACCS、試験管理L4通信
■あるべき姿
フォルダがあり、送受信できる設定になっていること
","■原因
L35DMZサーバのEAIに設定しているL4サーバのフォルダ名と実際のL4サーバのフォルダ名が異なっていたためでした。
■対策
現地千葉ターゲットのフォルダ構造を確認し、合わせるように修正致します。
"
,0038,2025/03/06,千葉,"（保守_問題点管理表no.1119へ移管）
S14 1-8",A：オーダ管理,A：オーダ管理,A：オーダ管理,"内外貨同時入荷し途中で中断終了すると、伝票が仮伝になる。
通常内貨入荷中断終了時は、本伝","■原因
保守問題点No.848がリリースされていないためです。
正しく伝票が作成されていないため実績が上がってきているにも関わらず仮伝から本伝に更新されない事象が起きていました。

■対策
保守問題点No.848をご確認いただいた後、リリース対応を行います。

2025/04/22 YJP追記：
2025/04/16に既設の方へリリース、ターゲットでの確認済み。
新設の方へ2025/04/24リリース予定。

2026/05/19 YJP村上追記
保守_問題点管理表no.1119へ移管したためクローズ致します。"
,0039,2025/03/06,千葉,S25　5-16,E：品質管理,E：品質管理,VIEX020803_試験項目編集,"■事象
試験項目編集画面が若干小さく、スクロールバーがでてしまっている。","■原因
試験項目編集画面の表示領域が小さかったためです。
■対策
表示領域を修正致します。
"
,0040,2025/03/06,千葉,S26 1-105,G：マスバランス,帳票,RIGP000023_港湾統計,"■事象
港湾統計表エクセルでボタンが押せない","■原因
Excelの「ActiveX」設定ができていなかった。
■対策
「ActiveX」の設定を追加する。
マスタPCのExcelのオプション設定の反映後、クローズ。

設定追加手順：
Excelメニューの「ファイル」→「オプション」→「トラストセンター」→「トラストセンターの設定」
トラストセンターの設定画面のActiveXの設定にて、
「先に確認メッセージを表示してから、最低限の制限を適用してすべてのコントロールを有効にする」に
チェックを入力し[OK]ボタンを押下
"
,0041,2025/03/10,千葉,S27 1-177,L：試験管理,L：試験管理,潤滑油試験成績表作成依頼Excel,"■事象
シート起動すると、「実行時エラー'-2147221164(80040154)　クラスが登録されていません）」とのエラーが出て、終了を押すとそのままシートが閉じる。","■原因
　マスタローダがまだ対応できていないことが原因です。

■対策
　3/24週中にマスタローダリリース予定のため、リリース後に再度確認させていただきたいと思います。
"
,0042,2025/03/10,千葉,"（保守_問題点管理表no.1120へ移管）
S-25-6-26",帳票,帳票,"外航通関
ボートノート　GT201","■事象
既設どおりではあるが、Date(I5セル)を右詰めに変更できないでしょうか。","■原因（既設からの不具合）
Date(I5セル)の値に文字位置の指定を設定していなかったためです。
■対策
文字位置の指定を設定し、右詰めに表示されるよう修正致しました。

2026/05/19 YJP村上追記
保守_問題点管理表no.1120へ移管したためクローズ致します"
,0043,2025/03/10,千葉,S-25-6-27,F：外航通関,F：外航通関,VIFX010103_タンク受入搬入計算確定,"■事象
下部の情報が切れているため、下部にスクロールしなければ下部の情報が確認できない。既設は全部のデータが確認できる。","■原因
明細行でのデータ量による表示範囲が足りなかったためでした。
■対策
表示領域の設定を修正致しました。
"
,0044,2025/03/10,千葉,（保守_問題点管理表no.1121へ移管）S-03-1-1,A：オーダ管理,A：オーダ管理,VIAA040101_日別情報,"■事象
既設は納入先名称であるが、検証機は納入先略号になっている。リンクが変わっているのでしょうか。","■原因（既設からの不具合）
既設と同じ動きとなります。外航入荷の編集または新規登録時、画面から簡略品名コードを入力した場合は納入先略称で表示されますが、オーダ登録後に画面からの更新なく登録(受付、確定)を行うと納入先名称が表示されます。
■対策
外航入荷以外の他の作業形態は必ず納入先略称が表示されます。統一する場合は現行APの保守としても対応が必要です。

2025/04/16 YJP
納入先名称か納入先略称どちらに統一するかは今後の会議にて各事業所の確認が必要
2025/05/27 YJP
納入先名称か納入先略称どちらに統一するかの確認メールを送信、回答待ち
　→2025/06/09 YJP 千葉製油所伊藤様より、回答を頂きましたので　納入先略称　で修正致します。 

2026/05/19 YJP村上追記
保守_問題点管理表no.1121へ移管したためクローズ致します"
,0045,2025/03/11,千葉,S-25-6-114,X：共通,X：共通,VIFX070201_期限管理一覧,"■事象
期限到達時のメッセージが途中で消えている。","■原因
表示設定が反映されていなかったためでした。
■対策
反映されるように修正致します。
"
,0046,2025/03/11,千葉,S-25-6-106,F：外航通関,帳票,外貨在庫日報（製品1）,"■事象
100,000以上の数値がスペースが足りず、表示されない","■原因
該当セルの列幅が表示領域より狭かったためでした。
■対策
セルの列幅を広げ、印刷時に影響がないように修正致します。
"
,0047,2025/03/11,千葉,,J：バイオターミナル管理,J：バイオターミナル管理,VIEX020202_受入後試験依頼,"■事象
登録ボタンがスクロールで見えなくなっている。","■原因（既設からの不具合）
試験依頼画面の表示領域が小さく設定されているためでした。
■対策
画面全体が表示されるよう表示領域を修正致しました。
"
,0048,2025/03/11,千葉,,L：試験管理,L：試験管理,帳票印刷機能全般,"■事象
帳票の印刷全般のレスポンスが悪い。（印刷を押してから2分以上かかる）","■原因
　共有フォルダのExcelの起動自体に時間が掛かっているため、ネットワークの影響かどうか確認中。

3/26
　マクロの参照設定で共有フォルダのファイルを参照しているものの起動が非常に遅かった。
　参照先パスが表示上は新サーバのパスになっているが、実際は現行サーバ（10.178.147.12）を
　参照しているような挙動をしており、はっきりとした原因は不明であった。
　（帳票をローカルにコピーすると参照先パスがなぜか現行サーバになる）

■対策
　参照設定をし直すことで改善することが確認できた。
"
,0049,2025/03/11,千葉,,F：外航通関,F：外航通関,VIFX090102_寄託タンク在庫 台帳引落,"■事象
台帳種別~数量のタグがズレている。","■原因
タイトル行の表示範囲が足りていなかったためでした。
■対策
明細行に合わせて表示されるようタイトル行の範囲修正を致します。
"
,0050,2025/03/11,千葉,（保守_問題点管理表no.1122へ移管）S-16-1-4,J：バイオターミナル管理,帳票,台帳出力一覧,日毎のデータ間に線がある場合とない場合がある。統一できないか,"■原因（既設からの不具合）
テンプレートの罫線が中途半端に設定されていたことが原因でした。
■対策
制御が反映されるようにテンプレートの罫線の表示を改めました。

2026/05/19 YJP村上追記
保守_問題点管理表no.1122へ移管したためクローズ致します"
,0051,2025/03/11,千葉,"（保守_問題点管理表no.1123へ移管）
S-25-6-119",F：外航通関,帳票,寄託タンク在庫明細表,日毎のデータ間に線（実線と破線）がある場合とない場合がある。同じ日付けもある。統一できないか,"■原因（既設からの不具合）
日毎のデータ間に線（実線と破線）に関してはNo.50と同様の原因でした。
同じ日付があるものは本来その場所から印刷時、改ページされる制御になっていました
が実際の改ページとずれてしまったためです。
■対策
日毎のデータ間に線（実線と破線）に関してはNo.50と同様の修正をしました。
同じ日付があるものはテンプレートの改ページ位置を制御と同じ位置で修正致しました。

2026/05/19 YJP村上追記
保守_問題点管理表no.1123へ移管したためクローズ致します"
,0052,2025/03/12,千葉,,帳票,帳票,製品半製品受払表,"■事象
商品管理-製品半製品受払表画面のボタンから帳票出力時にコンパイルエラーとなり中が確認できない。","（問題点管理表No.009と同様）
■原因
Excel VBAのバージョンがあがったため。
■対策
Excel VBAのバージョンアップに伴って前バージョンと仕様が異なる箇所を修正いたしました。
"
,0053,2025/03/12,千葉,,帳票,帳票,原油タンク受払実績,"■事象
商品管理-原油タンク受払実績を帳票出力すると、月のフォントが年と日のフォントと異なる。現行のシステムから出力されたものは、全て同じフィントになっている。","■原因
月のフォント表示部分が狭かったことによって起こっていました。
■対策
年、月、日のコンボボックス設定を一律に合わせるように修正致します。
"
,0054,2025/03/12,千葉,,帳票,帳票,入荷実績計算書,"■事象
商品管理-入荷実績計算書を帳票出力すると、月のフォントが年と日のフォントと異なる。現行のシステムから出力されたものもフォントが異なっている。","■原因
月のフォント表示部分が狭かったことによって起こっていました。
■対策
年、月、日のコンボボックス設定を一律に合わせるように修正致します。
"
,0055,2025/03/12,千葉,,帳票,帳票,増減推移表,"■事象
商品管理-増減推移表画面のボタンから帳票出力時にコンパイルエラーとなり中が確認できない。","（問題点管理表No.009と同様）
■原因
Excel VBAのバージョンがあがったため。
■対策
Excel VBAのバージョンアップに伴って前バージョンと仕様が異なる箇所を修正いたしました。
"
,0056,2025/03/12,千葉,,G：マスバランス,G：マスバランス,増減データグラフ,"■事象
商品管理-増減データグラフ画面で、文字が かすれてしまっている(文字化け？)","■原因
ブラウザ（Chrome）の機能であるグラフィックアクセラレーションの問題により発生しています。

■対策
Chromeのグラフィックアクセラレーションを無効にします。
　※クライアント構築手順にも追記します。
"
,0057,2025/03/12,千葉,,帳票,帳票,増減データグラフ,"■事象
商品管理-増減データグラフ画面帳票出力すると、エラーが出る。","■原因（既設からの不具合）
帳票作成時のデータの取得方法が誤っていたため、増減データグラフが出力されていませんでした。
■対策
取得方法を修正することで増減データグラフが出力されるよう致しました。
"
,0058,2025/03/12,千葉,S25 1-14,A：オーダ管理,A：オーダ管理,VIAA020302_外航入荷オーダ入力 - 編集_,"■事象
外航入荷オーダ入力-新規の画面の取引区分の列がずれている。
修正・削除の画面では正常になっている。","■原因
取引区分表示範囲が大きかったため罫線がずれてしまっていました。
■対策
範囲内に収まるよう修正致しました。
"
,0059,2025/03/12,千葉,S25　1-27,A：オーダ管理,A：オーダ管理,VIAA020602_外航出荷オーダ入力 - 編集_,"■事象
外航出荷オーダ入力-新規の画面の取引区分の列がずれている。
修正・削除の画面では正常になっている。","■原因
取引区分表示範囲が大きかったため罫線がずれてしまっていました。
■対策
範囲内に収まるよう修正致しました。
"
,0060,2025/03/13,千葉,,その他,X：共通,VIXX000003_メッセージ一覧,"■事象
システム管理-メッセージ一覧のメッセージ文字列入力欄が中央揃えになっている。（既設は左揃え）","■原因
メッセージ文字入力欄に対して入力の設定がされていませんでした。
■対策
入力欄に対して入力設定し、左詰めになるよう修正致しました。
"
